phrase	lemmas	pos	example	source_urls	noun_score
free at https://openstax.org/books/psychology-2e/pages/1-introduction	free at https://openstax.org/books/psychology-2e/pages/1-introduction	ADJ,ADP,NOUN	Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction © Jul 9, 2025 OpenStax.	https://openstax.org/books/psychology-2e/pages/11-introduction,https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-6-biological-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/11-9-personality-assessment,https://openstax.org/books/psychology-2e/pages/11-key-terms,https://openstax.org/books/psychology-2e/pages/11-summary,https://openstax.org/books/psychology-2e/pages/12-introduction,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-2-self-presentation,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-4-conformity-compliance-and-obedience,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary	0.500
book in	book in	NOUN,ADP	If you are redistributing all or part of this book in a print format, then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction If you are redistributing all or part of this book in a digital format, then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction Use the information below to generate a citation.	https://openstax.org/books/psychology-2e/pages/11-introduction,https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-6-biological-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/11-9-personality-assessment,https://openstax.org/books/psychology-2e/pages/11-key-terms,https://openstax.org/books/psychology-2e/pages/11-summary,https://openstax.org/books/psychology-2e/pages/12-introduction,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-2-self-presentation,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-4-conformity-compliance-and-obedience,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary	0.500
format then you	format then you	NOUN,ADV,PRON			0.333
book in a	book in a	NOUN,ADP,PRON	If you are redistributing all or part of this book in a print format, then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction If you are redistributing all or part of this book in a digital format, then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction Use the information below to generate a citation.	https://openstax.org/books/psychology-2e/pages/11-introduction,https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-6-biological-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/11-9-personality-assessment,https://openstax.org/books/psychology-2e/pages/11-key-terms,https://openstax.org/books/psychology-2e/pages/11-summary,https://openstax.org/books/psychology-2e/pages/12-introduction,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-2-self-presentation,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-4-conformity-compliance-and-obedience,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary	0.333
date apr 22	date apr 22	NOUN,VERB,NUM			0.333
22 2020 location	22 2020 location	NUM,NUM,NOUN			0.333
redistributing all or	redistribute all or	VERB,PRON,CCONJ	If you are redistributing all or part of this book in a print format, then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction If you are redistributing all or part of this book in a digital format, then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction Use the information below to generate a citation.	https://openstax.org/books/psychology-2e/pages/11-introduction,https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-6-biological-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/11-9-personality-assessment,https://openstax.org/books/psychology-2e/pages/11-key-terms,https://openstax.org/books/psychology-2e/pages/11-summary,https://openstax.org/books/psychology-2e/pages/12-introduction,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-2-self-presentation,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-4-conformity-compliance-and-obedience,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary	0.000
redistributing all	redistribute all	VERB,PRON	If you are redistributing all or part of this book in a print format, then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction If you are redistributing all or part of this book in a digital format, then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction Use the information below to generate a citation.	https://openstax.org/books/psychology-2e/pages/11-introduction,https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-6-biological-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/11-9-personality-assessment,https://openstax.org/books/psychology-2e/pages/11-key-terms,https://openstax.org/books/psychology-2e/pages/11-summary,https://openstax.org/books/psychology-2e/pages/12-introduction,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-2-self-presentation,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-4-conformity-compliance-and-obedience,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary	0.000
include on every	include on every	VERB,ADP,PRON	If you are redistributing all or part of this book in a print format, then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction If you are redistributing all or part of this book in a digital format, then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction Use the information below to generate a citation.	https://openstax.org/books/psychology-2e/pages/11-introduction,https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-6-biological-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/11-9-personality-assessment,https://openstax.org/books/psychology-2e/pages/11-key-terms,https://openstax.org/books/psychology-2e/pages/11-summary,https://openstax.org/books/psychology-2e/pages/12-introduction,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-2-self-presentation,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-4-conformity-compliance-and-obedience,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary	0.000
help openstax	help openstax	VERB,VERB			0.000
ingested into	ingest into	VERB,ADP	This book may not be used in the training of large language models or otherwise be ingested into large language models or generative AI offerings without OpenStax's permission.	https://openstax.org/books/psychology-2e/pages/11-introduction,https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-6-biological-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/11-9-personality-assessment,https://openstax.org/books/psychology-2e/pages/11-key-terms,https://openstax.org/books/psychology-2e/pages/11-summary,https://openstax.org/books/psychology-2e/pages/12-introduction,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-2-self-presentation,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-4-conformity-compliance-and-obedience,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary	0.000
according to	accord to	VERB,ADP	According to Gall, measuring these distances revealed the sizes of the brain areas underneath, providing information that could be used to determine whether a person was friendly, prideful, murderous, kind, good with languages, and so on.	https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/12-introduction,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-4-conformity-compliance-and-obedience,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms	0.000
learning for	learn for	VERB,ADP	Introduction Chapter Outline Our mission is to improve educational access and learning for everyone.	https://openstax.org/books/psychology-2e/pages/11-introduction,https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-6-biological-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/11-9-personality-assessment,https://openstax.org/books/psychology-2e/pages/11-key-terms,https://openstax.org/books/psychology-2e/pages/11-summary,https://openstax.org/books/psychology-2e/pages/12-introduction,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-2-self-presentation,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-4-conformity-compliance-and-obedience,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary	0.000
modify this	modify this	VERB,PRON	Want to cite, share, or modify this book?	https://openstax.org/books/psychology-2e/pages/11-introduction,https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-6-biological-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/11-9-personality-assessment,https://openstax.org/books/psychology-2e/pages/11-key-terms,https://openstax.org/books/psychology-2e/pages/11-summary,https://openstax.org/books/psychology-2e/pages/12-introduction,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-2-self-presentation,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-4-conformity-compliance-and-obedience,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary	0.000
letting go	letting go	AUX,VERB			0.000
include on	include on	VERB,ADP	If you are redistributing all or part of this book in a print format, then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction If you are redistributing all or part of this book in a digital format, then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction Use the information below to generate a citation.	https://openstax.org/books/psychology-2e/pages/11-introduction,https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-6-biological-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/11-9-personality-assessment,https://openstax.org/books/psychology-2e/pages/11-key-terms,https://openstax.org/books/psychology-2e/pages/11-summary,https://openstax.org/books/psychology-2e/pages/12-introduction,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-2-self-presentation,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-4-conformity-compliance-and-obedience,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary	0.000
found that	find that	VERB,SCONJ	Seeing them as a reflection of unconscious desires, linguists today have found that slips of the tongue tend to occur when we are tired, nervous, or not at our optimal level of cognitive functioning (Motley, 2002).	https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-6-biological-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/11-9-personality-assessment,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-4-conformity-compliance-and-obedience,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression	0.000
based on	base on	VERB,ADP	Hippocrates theorized that personality traits and human behaviors are based on four separate temperaments associated with four fluids (“humors”) of the body: choleric temperament (yellow bile from the liver), melancholic temperament (black bile from the kidneys), sanguine temperament (red blood from the heart), and phlegmatic temperament (white phlegm from the lungs) (Clark & Watson, 2008; Eysenck & Eysenck, 1985; Lecci & Magnavita, 2013; Noga, 2007).	https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/11-9-personality-assessment,https://openstax.org/books/psychology-2e/pages/11-summary,https://openstax.org/books/psychology-2e/pages/12-2-self-presentation,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-4-conformity-compliance-and-obedience,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary	0.000
view the	view the	VERB,PRON	If you are redistributing all or part of this book in a print format, then you must include on every physical page the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction If you are redistributing all or part of this book in a digital format, then you must include on every digital page view the following attribution: Access for free at https://openstax.org/books/psychology-2e/pages/1-introduction Use the information below to generate a citation.	https://openstax.org/books/psychology-2e/pages/11-introduction,https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-6-biological-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/11-9-personality-assessment,https://openstax.org/books/psychology-2e/pages/11-key-terms,https://openstax.org/books/psychology-2e/pages/11-summary,https://openstax.org/books/psychology-2e/pages/12-introduction,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-2-self-presentation,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-4-conformity-compliance-and-obedience,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary	0.000
uses the	use the	VERB,PRON	This book uses the Creative Commons Attribution License and you must attribute OpenStax.	https://openstax.org/books/psychology-2e/pages/11-introduction,https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-6-biological-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/11-9-personality-assessment,https://openstax.org/books/psychology-2e/pages/11-key-terms,https://openstax.org/books/psychology-2e/pages/11-summary,https://openstax.org/books/psychology-2e/pages/12-introduction,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-2-self-presentation,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-4-conformity-compliance-and-obedience,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary	0.000
tend to	tend to	VERB,PART	While we tend to think of a mask as being worn to conceal one’s identity, the theatrical mask was originally used to either represent or project a specific personality trait of a character ( Figure 11.2 ).	https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/11-summary,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-2-self-presentation,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-4-conformity-compliance-and-obedience,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-summary	0.000
want to	want to	VERB,PART	Want to cite, share, or modify this book?	https://openstax.org/books/psychology-2e/pages/11-introduction,https://openstax.org/books/psychology-2e/pages/11-1-what-is-personality,https://openstax.org/books/psychology-2e/pages/11-2-freud-and-the-psychodynamic-perspective,https://openstax.org/books/psychology-2e/pages/11-3-neo-freudians-adler-erikson-jung-and-horney,https://openstax.org/books/psychology-2e/pages/11-4-learning-approaches,https://openstax.org/books/psychology-2e/pages/11-5-humanistic-approaches,https://openstax.org/books/psychology-2e/pages/11-6-biological-approaches,https://openstax.org/books/psychology-2e/pages/11-7-trait-theorists,https://openstax.org/books/psychology-2e/pages/11-8-cultural-understandings-of-personality,https://openstax.org/books/psychology-2e/pages/11-9-personality-assessment,https://openstax.org/books/psychology-2e/pages/11-key-terms,https://openstax.org/books/psychology-2e/pages/11-summary,https://openstax.org/books/psychology-2e/pages/12-introduction,https://openstax.org/books/psychology-2e/pages/12-1-what-is-social-psychology,https://openstax.org/books/psychology-2e/pages/12-2-self-presentation,https://openstax.org/books/psychology-2e/pages/12-3-attitudes-and-persuasion,https://openstax.org/books/psychology-2e/pages/12-4-conformity-compliance-and-obedience,https://openstax.org/books/psychology-2e/pages/12-5-prejudice-and-discrimination,https://openstax.org/books/psychology-2e/pages/12-6-aggression,https://openstax.org/books/psychology-2e/pages/12-7-prosocial-behavior,https://openstax.org/books/psychology-2e/pages/12-key-terms,https://openstax.org/books/psychology-2e/pages/12-summary	0.000
